shape,convex,contour,y,angle,spatial_gap
A,concave,104 20 42 80 25 125 127 117 85 107 104 98,230,-3.141592653589793,88
A,convex,41 23 46 102 66 110 23 119 127 125 105 81,230,-3.141592653589793,107
B,convex,59 14 95 24 106 79 45 136 44 82 52 94 56 70 48 43,240,-3.9269908169872414,94
B,concave,96 12 59 18 43 75 101 137 105 82 96 94 93 72 105 40,215,-3.141592653589793,79
C,concave,42 20 45 114 105 130 71 97 83 82 107 78 83 40 66 24,235,-3.4243359924128747,85
C,convex,105 19 80 23 68 36 43 77 65 81 79 96 47 130 106 112,230,-3.141592653589793,87
D,convex,108 25 35 54 38 123 49 106 81 119 110 119 105 109 113 109 99 96 66 86 115 91 54 63,235,0,96
D,concave,40 28 113 55 113 122 102 106 70 119 41 119 45 110 38 109 49 98 81 85 35 89 92 64,240,-0.21991148575128555,85
E,concave,34 33 105 25 98 82 116 47 91 122 63 42 44 109 72 96 47 123 35 119,215,-4.743804906920587,106
E,convex,43 27 113 32 117 117 105 123 80 98 108 109 84 42 61 123 33 51 51 82,230,-1.5707963267948966,99
F,concave,54 22 112 37 111 14 119 20 119 80 100 122 53 135 41 120 91 51 80 54 38 99 30 91 60 60 33 60 36 39,215,0,99
F,convex,30 20 39 14 39 38 94 21 115 39 117 59 91 59 121 90 113 97 71 56 59 50 110 120 98 134 51 122 31 81,230,0,105
G,convex,15 104 38 82 57 31 69 56 66 23 92 28 87 58 117 38 127 54 34 99 126 106 135 117 45 114 35 128,210,0.6283185307179586,124
G,concave,15 104 38 82 57 31 69 56 66 23 92 28 87 58 117 38 127 54 34 99 126 106 135 117 45 114 35 128,215,2.9845130209103035,93
H,convex,28 26 33 44 101 27 69 51 49 56 57 67 45 74 51 80 24 82 30 118 52 93 75 114 77 104 82 137 90 97 127 112 119 48 104 48 127 18 84 14,225,-1.5707963267948966,115
H,concave,27 15 75 15 127 29 119 47 55 26 78 49 102 58 95 67 107 77 101 82 126 88 119 122 99 95 74 114 72 104 64 136 59 95 24 111 34 44 47 44,215,-3.141592653589793,96
