"","shape","changeType","blockNum","trialID","response","confidence","rt","subjectID","experimentName","experimentVersion","experimentTime","studyID","sessionID","browserName","browserVersion","displayWindowHeight","displayWindowWidth","displayScreenHeight","displayScreenWidth","change_key","gender","age","taskGuess","purposeGuess","commentText","totalTime","collapsedChange","correctAnswer","fullShapeName","responded_correctly","count","analysisChangeType"
"1","shape3","no_change2",0,0,"same",9,9077,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape3_no_change2",1,1,"none"
"2","shape1","no_change1",0,1,"same",9,3606,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape1_no_change1",1,1,"none"
"3","shape5","no_change3",0,2,"same",8,2494,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape5_no_change3",1,1,"none"
"4","shape6","no_change1",0,3,"same",8,4671,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape6_no_change1",1,1,"none"
"5","shape2","no_change2",0,4,"same",8,2797,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape2_no_change2",1,1,"none"
"6","shape7","no_change3",0,5,"same",8,3221,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape7_no_change3",1,1,"none"
"7","shape8","no_change3",0,6,"same",9,5870,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape8_no_change3",1,1,"none"
"8","shape4","no_change4",0,7,"same",8,2919,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape4_no_change4",1,1,"none"
"9","catch_shape","no_change5",0,8,"same",9,2295,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","catch_shape_no_change5",1,1,"none"
"10","shape7","no_change1",1,9,"same",7,5517,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape7_no_change1",1,1,"none"
"11","shape1","no_change2",1,10,"same",8,2645,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape1_no_change2",1,1,"none"
"12","shape3","concave_area2",1,11,"same",8,3551,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"concave_area2","different","shape3_concave_area2",0,1,"concave"
"13","shape2","no_change6",1,12,"different",7,6142,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape2_no_change6",0,1,"none"
"14","shape5","no_change5",1,13,"different",7,3935,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape5_no_change5",0,1,"none"
"15","shape4","no_change6",1,14,"same",8,1830,"55b6a2e5fdf99b350d57360e","ducktruck","v001",1037420,"60e37abdc60a8398fd63c9e4","60ef12f12c286ba9fa30ee2f","Firefox",89,1347,2560,1440,2560,"q"," -- select an option -- ",NA,"Click q if you noticed no change between the shape at the start and at the end, click p if you did notice a change. Rate your confidence level on a scale of 1-9.","To see how good people are at perceiving small changes, maybe based on color, speed between observations. ","Worked fine.",1060291,"no_change","same","shape4_no_change6",1,1,"none"
