Shape,,Coordinates/3500,Coordinates/3700,Coordinates/3900,Coordinates/4100,Coordinates/4300,Coordinates/4500,,,,,,,,,,,,,,,,,Angle
Aconcave,,"[[527, 367], [651, 249], [691, 159], [483, 157], [617, 219], [545, 287]]","[[560, 367], [684, 249], [724, 159], [516, 157], [650, 219], [578, 287]]","[[594, 367], [718, 249], [758, 159], [550, 157], [684, 219], [612, 287]]","[[628, 367], [752, 249], [792, 159], [584, 157], [718, 219], [646, 287]]","[[661, 367], [785, 249], [825, 159], [617, 157], [751, 219], [679, 287]]","[[695, 367], [819, 249], [859, 159], [651, 157], [785, 219], [713, 287]]",,,,,,,,,,,,,,,,,-3.1415926
Aconvex,,"[[744, 366], [726, 292], [656, 220], [782, 174], [574, 160], [616, 248]]","[[777, 366], [759, 292], [689, 220], [815, 174], [607, 160], [649, 248]]","[[811, 366], [793, 292], [723, 220], [849, 174], [641, 160], [683, 248]]","[[845, 366], [827, 292], [757, 220], [883, 174], [675, 160], [717, 248]]","[[878, 366], [860, 292], [790, 220], [916, 174], [708, 160], [750, 248]]","[[912, 366], [894, 292], [824, 220], [950, 174], [742, 160], [784, 248]]",,,,,,,,,,,,,,,,,-3.1415926
Bconcave Agent,,"[53,39],[49,80],[101,137],[105,82],[96,94],[93,72],[96,40]",,,,,,,,,,,,,,,,,,,,,,-1.671059894
Bconcave,,"[[551, 300], [605, 288], [657, 174], [519, 50], [493, 150], [531, 136], [609, 194], [563, 264]]","[[585, 300], [639, 288], [691, 174], [553, 50], [527, 150], [565, 136], [643, 194], [597, 264]]","[[618, 300], [672, 288], [724, 174], [586, 50], [560, 150], [598, 136], [676, 194], [630, 264]]","[[652, 300], [706, 288], [758, 174], [620, 50], [594, 150], [632, 136], [710, 194], [664, 264]]","[[685, 300], [739, 288], [791, 174], [653, 50], [627, 150], [665, 136], [743, 194], [697, 264]]","[[719, 300], [773, 288], [825, 174], [687, 50], [661, 150], [699, 136], [777, 194], [731, 264]]",,,,,,,,,,,,,,,,,math.pi
Bconvex,,"[[732, 264], [690, 294], [596, 232], [602, 66], [680, 140], [646, 152], [632, 222], [706, 248]]","[[766, 264], [724, 294], [630, 232], [636, 66], [714, 140], [680, 152], [666, 222], [740, 248]]","[[799, 264], [757, 294], [663, 232], [669, 66], [747, 140], [713, 152], [699, 222], [773, 248]]","[[833, 264], [791, 294], [697, 232], [703, 66], [781, 140], [747, 152], [733, 222], [807, 248]]","[[866, 264], [824, 294], [730, 232], [736, 66], [814, 140], [780, 152], [766, 222], [840, 248]]","[[900, 264], [858, 294], [764, 232], [770, 66], [848, 140], [814, 152], [800, 222], [874, 248]]",,,,,,,,,,,,,,,,,-3.926990817
Cconcave,,"[[684, 333], [626, 155], [500, 157], [604, 195], [590, 231], [570, 261], [594, 317], [634, 339]]","[[717, 333], [659, 155], [533, 157], [637, 195], [623, 231], [603, 261], [627, 317], [667, 339]]","[[751, 333], [693, 155], [567, 157], [671, 195], [657, 231], [637, 261], [661, 317], [701, 339]]","[[784, 333], [726, 155], [600, 157], [704, 195], [690, 231], [670, 261], [694, 317], [734, 339]]","[[818, 333], [760, 155], [634, 157], [738, 195], [724, 231], [704, 261], [728, 317], [768, 339]]","[[851, 333], [793, 155], [667, 157], [771, 195], [757, 231], [737, 261], [761, 317], [801, 339]]",,,,,,,,,,,,,,,,,(-3.4243359924128747)*1
Cconvex,,"[[598, 347], [648, 339], [672, 313], [678, 245], [648, 225], [628, 185], [714, 125], [596, 161]]","[[631, 347], [681, 339], [705, 313], [711, 245], [681, 225], [661, 185], [747, 125], [629, 161]]","[[665, 347], [715, 339], [739, 313], [745, 245], [715, 225], [695, 185], [781, 125], [663, 161]]","[[698, 347], [748, 339], [772, 313], [778, 245], [748, 225], [728, 185], [814, 125], [696, 161]]","[[732, 347], [782, 339], [806, 313], [812, 245], [782, 225], [762, 185], [848, 125], [730, 161]]","[[765, 347], [815, 339], [839, 313], [845, 245], [815, 225], [795, 185], [881, 125], [763, 161]]",,,,,,,,,,,,,,,,,-3.141592654
Dconcave,,"[[492, 152], [652, 194], [680, 324], [652, 298], [596, 336], [538, 350], [542, 330], [528, 332], [546, 306], [602, 266], [544, 288], [616, 220]]","[[526, 152], [686, 194], [714, 324], [686, 298], [630, 336], [572, 350], [576, 330], [562, 332], [580, 306], [636, 266], [578, 288], [650, 220]]","[[559, 152], [719, 194], [747, 324], [719, 298], [663, 336], [605, 350], [609, 330], [595, 332], [613, 306], [669, 266], [611, 288], [683, 220]]","[[593, 152], [753, 194], [781, 324], [753, 298], [697, 336], [639, 350], [643, 330], [629, 332], [647, 306], [703, 266], [645, 288], [717, 220]]","[[627, 152], [787, 194], [815, 324], [787, 298], [731, 336], [673, 350], [677, 330], [663, 332], [681, 306], [737, 266], [679, 288], [751, 220]]","[[660, 152], [820, 194], [848, 324], [820, 298], [764, 336], [706, 350], [710, 330], [696, 332], [714, 306], [770, 266], [712, 288], [784, 220]]",,,,,,,,,,,,,,,,,(-0.21991148575128555)
Dconvex,,"[[581, 125], [611, 287], [743, 325], [717, 293], [763, 241], [781, 185], [759, 189], [763, 173], [729, 191], [691, 249], [703, 187], [639, 257]]","[[615, 125], [645, 287], [777, 325], [751, 293], [797, 241], [815, 185], [793, 189], [797, 173], [763, 191], [725, 249], [737, 187], [673, 257]]","[[648, 125], [678, 287], [810, 325], [784, 293], [830, 241], [848, 185], [826, 189], [830, 173], [796, 191], [758, 249], [770, 187], [706, 257]]","[[682, 125], [712, 287], [844, 325], [818, 293], [864, 241], [882, 185], [860, 189], [864, 173], [830, 191], [792, 249], [804, 187], [740, 257]]","[[716, 125], [746, 287], [878, 325], [852, 293], [898, 241], [916, 185], [894, 189], [898, 173], [864, 191], [826, 249], [838, 187], [774, 257]]","[[749, 125], [779, 287], [911, 325], [885, 293], [931, 241], [949, 185], [927, 189], [931, 173], [897, 191], [859, 249], [871, 187], [807, 257]]",,,,,,,,,,,,,,,,,math.pi*1.6
Econcave,,"[[628, 132], [636, 274], [598, 258], [610, 296], [576, 258], [606, 188], [476, 142], [492, 156], [454, 148], [458, 124]]","[[662, 132], [670, 274], [632, 258], [644, 296], [610, 258], [640, 188], [510, 142], [526, 156], [488, 148], [492, 124]]","[[696, 132], [704, 274], [666, 258], [678, 296], [644, 258], [674, 188], [544, 142], [560, 156], [522, 148], [526, 124]]","[[729, 132], [737, 274], [699, 258], [711, 296], [677, 258], [707, 188], [577, 142], [593, 156], [555, 148], [559, 124]]","[[763, 132], [771, 274], [733, 258], [745, 296], [711, 258], [741, 188], [611, 142], [627, 156], [589, 148], [593, 124]]","[[796, 132], [804, 274], [766, 258], [778, 296], [744, 258], [774, 188], [644, 142], [660, 156], [622, 148], [626, 124]]",,,,,,,,,,,,,,,,,-4.648928809
